tag_name,category,stash_name,markers_enabled,scene_tag_enabled,image_enabled,RequiredSceneTagDuration,min_marker_duration,max_gap,MergeStrategy,MarkerMergeParam1,MarkerMergeParam2,MarkerMergeParam3,MarkerMergeParam4,MarkerMergeParam5
Ring Gag,BDSM,,FALSE,,,,,,,,,,,
Harness Gag,BDSM,,FALSE,,,,,,,,,,,
Bit Gag,BDSM,,FALSE,,,,,,,,,,,
Muzzle Gag,BDSM,,FALSE,,,,,,,,,,,
Dildo Gag,BDSM,,FALSE,,,,,,,,,,,
Inflatable Gag,BDSM,,FALSE,,,,,,,,,,,
Tape Gag,BDSM,,FALSE,,,,,,,,,,,
Rope Bondage,BDSM,,FALSE,,,,,,,,,,,
Metal Bondage,BDSM,,FALSE,,,,,,,,,,,
Leather Bondage,BDSM,,FALSE,,,,,,,,,,,
Collared,BDSM,,FALSE,,,,,,,,,,,
Blindfolded,BDSM,,FALSE,,,,,,,,,,,
Chair Tied,BDSM,,FALSE,,,,,,,,,,,
Straight Jacket,BDSM,,FALSE,,,,,,,,,,,
Yoke,BDSM,,,,,,,,,,,,,
Whip,BDSM,,,,,,,,,,,,,
Flogger,BDSM,,,,,,,,,,,,,
Electric Torture,BDSM,,,,,,,,,,,,,
Crush Torture,BDSM,,,,,,,,,,,,,
Arm Binder,BDSM,,FALSE,,,,,,,,,,,
Rope Collar,BDSM,,FALSE,,,,,,,,,,,
Leather Collar,BDSM,,FALSE,,,,,,,,,,,
Metal Collar,BDSM,,FALSE,,,,,,,,,,,
Leash,BDSM,,FALSE,,,,,,,,,,,
Catheter,BDSM,,FALSE,,,,,,,,,,,
Handcuffed,BDSM,,FALSE,,,,,,,,,,,
Doggystyle,Positions,,,,,,,,,,,,,
Facesitting,Positions,,,,,,,,,,,,,
Cowgirl,Positions,,,,,,,,,,,,,
Rev Cowgirl,Positions,,,,,,,,,,,,,
Missionary,Positions,,,,,,,,,,,,,
G Missionary,Positions,,,,,,,,,,,,,
Stand Cradle,Positions,,,,,,,,,,,,,
Kneeling,Positions,,FALSE,,,,,,,,,,,
Laying Down,Positions,,FALSE,,,,,,,,,,,
Bent Over,Positions,,FALSE,,,,,,,,,,,
Sitting,Positions,,FALSE,,,,,,,,,,,
Squatting,Positions,,FALSE,,,,,,,,,,,
Flexible,Positions,,,,,,,,,,,,,
Upskirt,Positions,,,,,,,,,,,,,
FPOV,Positions,,,,,,,,,,,,,
MPOV,Positions,,,,,,,,,,,,,
CloseUp,Positions,,,,,35%,30,,,,,,,
1F,Positions,,,,,35%,30,,,,,,,
1F1M,Positions,,,,,35%,30,,,,,,,
2F,Positions,,,,,35%,30,,,,,,,
2F1M,Positions,,,,,35%,30,,,,,,,
3F,Positions,,,,,35%,30,,,,,,,
1F2M,Positions,,,,,35%,30,,,,,,,
1M,Positions,,,,,35%,30,,,,,,,
2M,Positions,,,,,35%,30,,,,,,,
3M,Positions,,,,,35%,30,,,,,,,
Orgy,Positions,,,,,35%,30,,,,,,,
